XLabel,Wavenumber;;;;;;;;;
YLabel,Absorbance;;;;;;;;;
FileType,Absorbance;;;;;;;;;
DisplayDirection,20300;;Palha de cana de açúcar;;Bagaço de Malte;;Casca de babaçu;;Cana energia;
PeakDirection,20310;;;;;;;;;
972.835176,0.247284;;972,835176;0,247284;972,835176;0,245986;972,835176;0,099477;972,835176;0,182884
974.698844,0.249118;;974,698844;0,249118;974,698844;0,249761;974,698844;0,100646;974,698844;0,186598
976.562513,0.251110;;976,562513;0,25111;976,562513;0,253605;976,562513;0,102018;976,562513;0,190589
978.426182,0.252970;;978,426182;0,25297;978,426182;0,257359;978,426182;0,103296;978,426182;0,194596
980.289851,0.254804;;980,289851;0,254804;980,289851;0,26144;980,289851;0,104571;980,289851;0,198371
982.153520,0.256202;;982,15352;0,256202;982,15352;0,265216;982,15352;0,105758;982,15352;0,201585
984.017189,0.257257;;984,017189;0,257257;984,017189;0,268289;984,017189;0,10667;984,017189;0,204161
985.880858,0.257921;;985,880858;0,257921;985,880858;0,270634;985,880858;0,10711;985,880858;0,205476
987.744527,0.258403;;987,744527;0,258403;987,744527;0,272284;987,744527;0,107241;987,744527;0,205638
989.608196,0.258802;;989,608196;0,258802;989,608196;0,273096;989,608196;0,107197;989,608196;0,204986
991.471865,0.259532;;991,471865;0,259532;991,471865;0,273626;991,471865;0,107311;991,471865;0,203945
993.335534,0.260964;;993,335534;0,260964;993,335534;0,273836;993,335534;0,107573;993,335534;0,202775
995.199203,0.263340;;995,199203;0,26334;995,199203;0,274442;995,199203;0,107942;995,199203;0,202074
997.062871,0.266443;;997,062871;0,266443;997,062871;0,27526;997,062871;0,108279;997,062871;0,202262
998.926540,0.269964;;998,92654;0,269964;998,92654;0,276547;998,92654;0,108963;998,92654;0,20351
1000.790209,0.273066;;1000,790209;0,273066;1000,790209;0,278093;1000,790209;0,109723;1000,790209;0,204975
1002.653878,0.275534;;1002,653878;0,275534;1002,653878;0,279623;1002,653878;0,110139;1002,653878;0,206264
1004.517547,0.276955;;1004,517547;0,276955;1004,517547;0,280775;1004,517547;0,110281;1004,517547;0,207132
1006.381216,0.277478;;1006,381216;0,277478;1006,381216;0,281924;1006,381216;0,11045;1006,381216;0,207941
1008.244885,0.276680;;1008,244885;0,27668;1008,244885;0,28297;1008,244885;0,110704;1008,244885;0,208711
1010.108554,0.274847;;1010,108554;0,274847;1010,108554;0,284036;1010,108554;0,111052;1010,108554;0,20958
1011.972223,0.272931;;1011,972223;0,272931;1011,972223;0,284971;1011,972223;0,111513;1011,972223;0,21072
1013.835892,0.271941;;1013,835892;0,271941;1013,835892;0,286225;1013,835892;0,112217;1013,835892;0,212417
1015.699561,0.272056;;1015,699561;0,272056;1015,699561;0,287463;1015,699561;0,113013;1015,699561;0,21447
1017.563230,0.273721;;1017,56323;0,273721;1017,56323;0,288756;1017,56323;0,113852;1017,56323;0,216737
1019.426898,0.276503;;1019,426898;0,276503;1019,426898;0,289761;1019,426898;0,114645;1019,426898;0,21888
1021.290567,0.280425;;1021,290567;0,280425;1021,290567;0,290578;1021,290567;0,11535;1021,290567;0,221003
1023.154236,0.285295;;1023,154236;0,285295;1023,154236;0,291115;1023,154236;0,115964;1023,154236;0,222844
1025.017905,0.290591;;1025,017905;0,290591;1025,017905;0,291492;1025,017905;0,116561;1025,017905;0,224496
1026.881574,0.295574;;1026,881574;0,295574;1026,881574;0,291379;1026,881574;0,116946;1026,881574;0,225778
1028.745243,0.299840;;1028,745243;0,29984;1028,745243;0,291037;1028,745243;0,116953;1028,745243;0,226623
1030.608912,0.302419;;1030,608912;0,302419;1030,608912;0,289936;1030,608912;0,116531;1030,608912;0,226587
1032.472581,0.302985;;1032,472581;0,302985;1032,472581;0,288202;1032,472581;0,115757;1032,472581;0,225479
1034.336250,0.300918;;1034,33625;0,300918;1034,33625;0,285815;1034,33625;0,114502;1034,33625;0,223093
1036.199919,0.296390;;1036,199919;0,29639;1036,199919;0,282716;1036,199919;0,112928;1036,199919;0,219765
1038.063588,0.289993;;1038,063588;0,289993;1038,063588;0,278854;1038,063588;0,11124;1038,063588;0,215814
1039.927257,0.282735;;1039,927257;0,282735;1039,927257;0,27519;1039,927257;0,109602;1039,927257;0,212069
1041.790926,0.274858;;1041,790926;0,274858;1041,790926;0,271713;1041,790926;0,108136;1041,790926;0,209007
1043.654594,0.266902;;1043,654594;0,266902;1043,654594;0,268485;1043,654594;0,107054;1043,654594;0,206774
1045.518263,0.258959;;1045,518263;0,258959;1045,518263;0,265307;1045,518263;0,106216;1045,518263;0,204996
1047.381932,0.251228;;1047,381932;0,251228;1047,381932;0,262167;1047,381932;0,105488;1047,381932;0,203354
1049.245601,0.243629;;1049,245601;0,243629;1049,245601;0,258705;1049,245601;0,104706;1049,245601;0,20114
1051.109270,0.236450;;1051,10927;0,23645;1051,10927;0,254984;1051,10927;0,103834;1051,10927;0,198292
1052.972939,0.229727;;1052,972939;0,229727;1052,972939;0,250975;1052,972939;0,102624;1052,972939;0,194699
1054.836608,0.223583;;1054,836608;0,223583;1054,836608;0,24676;1054,836608;0,10117;1054,836608;0,19058
1056.700277,0.217818;;1056,700277;0,217818;1056,700277;0,242433;1056,700277;0,099441;1056,700277;0,185854
1058.563946,0.212801;;1058,563946;0,212801;1058,563946;0,238356;1058,563946;0,097477;1058,563946;0,180844
1060.427615,0.208489;;1060,427615;0,208489;1060,427615;0,234495;1060,427615;0,095176;1060,427615;0,175733
1062.291284,0.204778;;1062,291284;0,204778;1062,291284;0,230769;1062,291284;0,092799;1062,291284;0,17058
